artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
BG Kenny Lou	Fucc up the City	0	0.9	0.397	11	-10.154	0	0.331	0.236	0.0	0.106	0.43	131.983	audio_features	1JuJrprXisnSFxzPbEyDzy	spotify:track:1JuJrprXisnSFxzPbEyDzy	https://api.spotify.com/v1/tracks/1JuJrprXisnSFxzPbEyDzy	https://api.spotify.com/v1/audio-analysis/1JuJrprXisnSFxzPbEyDzy	266424	4	2019	19	1
Baby Bash	Cyclone - Main	0	0.644	0.725	11	-4.622	1	0.0701	0.0112	0.0	0.146	0.584	77.977	audio_features	0x1LCpY9Rgeq97VPajm81B	spotify:track:0x1LCpY9Rgeq97VPajm81B	https://api.spotify.com/v1/tracks/0x1LCpY9Rgeq97VPajm81B	https://api.spotify.com/v1/audio-analysis/0x1LCpY9Rgeq97VPajm81B	222053	4	2007	65	1
Bad Suns	Cardiac Arrest	0	0.616	0.88	1	-3.59	1	0.042	0.0521	0.000717	0.0539	0.751	94.011	audio_features	6zQyu8L8yUuJkl6LbQ6iKU	spotify:track:6zQyu8L8yUuJkl6LbQ6iKU	https://api.spotify.com/v1/tracks/6zQyu8L8yUuJkl6LbQ6iKU	https://api.spotify.com/v1/audio-analysis/6zQyu8L8yUuJkl6LbQ6iKU	182518	4	2014	63	0
Bad Wolves	Zombie	0	0.448	0.826	2	-3.244	0	0.0319	0.00756	0.0	0.117	0.19	77.093	audio_features	1vNoA9F5ASnlBISFekDmg3	spotify:track:1vNoA9F5ASnlBISFekDmg3	https://api.spotify.com/v1/tracks/1vNoA9F5ASnlBISFekDmg3	https://api.spotify.com/v1/audio-analysis/1vNoA9F5ASnlBISFekDmg3	254805	4	2018	72	0
Badfinger	No Matter What - Remastered 2010	0	0.529	0.743	9	-5.523	1	0.0481	0.177	0.0	0.0759	0.78	116.817	audio_features	0zK545STj6P7qbFSpCK9pp	spotify:track:0zK545STj6P7qbFSpCK9pp	https://api.spotify.com/v1/tracks/0zK545STj6P7qbFSpCK9pp	https://api.spotify.com/v1/audio-analysis/0zK545STj6P7qbFSpCK9pp	180547	4	1970	59	0
Bankroll Fresh	Hot Boy	0	0.8	0.64	4	-8.671	1	0.124	0.0804	0.0	0.141	0.488	130.026	audio_features	7sHy6qZZdighqUZfupRb0r	spotify:track:7sHy6qZZdighqUZfupRb0r	https://api.spotify.com/v1/tracks/7sHy6qZZdighqUZfupRb0r	https://api.spotify.com/v1/audio-analysis/7sHy6qZZdighqUZfupRb0r	166220	4	2015	42	1
Beanie Sigel	Feel It In The Air	0	0.358	0.596	3	-11.906	0	0.224	0.147	0.0	0.212	0.484	178.008	audio_features	4rICUbwZZuqUOcgQgtux2k	spotify:track:4rICUbwZZuqUOcgQgtux2k	https://api.spotify.com/v1/tracks/4rICUbwZZuqUOcgQgtux2k	https://api.spotify.com/v1/audio-analysis/4rICUbwZZuqUOcgQgtux2k	246160	4	2005	55	1
Bear Hands	Agora	0	0.733	0.589	1	-5.165	1	0.0272	0.217	0.00588	0.392	0.766	97.498	audio_features	4gHP29js756gIlq0lsnUSd	spotify:track:4gHP29js756gIlq0lsnUSd	https://api.spotify.com/v1/tracks/4gHP29js756gIlq0lsnUSd	https://api.spotify.com/v1/audio-analysis/4gHP29js756gIlq0lsnUSd	160013	4	2014	43	0
Bear Hands	Giants	0	0.464	0.845	0	-5.496	1	0.0967	0.0053	0.0134	0.0748	0.423	184.028	audio_features	5TmxZMRd2fMkecVqyySKHm	spotify:track:5TmxZMRd2fMkecVqyySKHm	https://api.spotify.com/v1/tracks/5TmxZMRd2fMkecVqyySKHm	https://api.spotify.com/v1/audio-analysis/5TmxZMRd2fMkecVqyySKHm	188267	4	2014	50	0
Bebe Winans	Lift Every Voice And Sing	0	0.308	0.147	3	-12.14	1	0.0396	0.938	0.0	0.103	0.269	167.528	audio_features	6QCaPlJFUAXAKEGuKi2lXi	spotify:track:6QCaPlJFUAXAKEGuKi2lXi	https://api.spotify.com/v1/tracks/6QCaPlJFUAXAKEGuKi2lXi	https://api.spotify.com/v1/audio-analysis/6QCaPlJFUAXAKEGuKi2lXi	275107	4	2012	32	0
